isExoplanet,hostName,orbitalPeriod,orbitalPeriodMin,orbitalPeriodMax,transitDuration,transitDurationMin,transitDurationMax,transitDepth,transitDepthMin,transitDepthMax,impactParameter,impactParameterMin,impactParameterMax,planetRadiusEarth,planetRadiusEarthMin,planetRadiusEarthMax,planetRadiusJupiter,planetRadiusJupiterMin,planetRadiusJupiterMax,planetMassEarth,planetMassEarthMin,planetMassEarthMax,planetMassJupiter,planetMassJupiterMin,planetMassJupiterMax,planetDensity,planetDensityMin,planetDensityMax,equilibriumTemperature,equilibriumTemperatureMin,equilibriumTemperatureMax,insolationFlux,insolationFluxMin,insolationFluxMax,stellarEffectiveTemperature,stellarEffectiveTemperatureMin,stellarEffectiveTemperatureMax,stellarSurfaceGravity,stellarSurfaceGravityMin,stellarSurfaceGravityMax,stellarRadius,stellarRadiusMin,stellarRadiusMax,stellarMass,stellarMassMin,stellarMassMax,stellarMetallicity,stellarMetallicityMin,stellarMetallicityMax,stellarAge,stellarAgeMin,stellarAgeMax,rightAscension,declination,magnitude
0,,410.99389,3.23E-02,-3.23E-02,12.01,3.3,-3.3,5.50E+02,1.29E+02,-1.29E+02,0.3421,0.2711,-0.3411,2.09,6.10E-01,-1.50E-01,,,,,,,,,,,,,220,,,0.55,0.47,-0.12,5471,149,-147,4.533,0.028,-0.227,0.898,0.261,-0.063,,,,,,,,,,285.75586,44.724998,15.46
0,,2.17823752,2.25E-05,-2.25E-05,2.259,0.26,-0.26,4.40E+01,5.70E+00,-5.70E+00,0.037,0.403,-0.037,0.64,1.80E-01,-9.00E-02,,,,,,,,,,,,,1473,,,1114.8,879.64,-392.18,6052,163,-181,4.422,0.105,-0.18,0.969,0.26,-0.14,,,,,,,,,,288.19992,46.149422,14.102
0,,1.404674486,9.35E-06,-9.35E-06,5.056,0.158,-0.158,1.56E+02,8.70E+00,-8.70E+00,0.8171,0.0573,-0.5652,0.86,8.00E-02,-8.00E-02,,,,,,,,,,,,,1126,,,379.5,128.34,-97.14,4716,138,-132,4.65,0.056,-0.038,0.609,0.056,-0.053,,,,,,,,,,291.97629,37.668652,14.962
0,,24.9097436,5.80E-04,-5.80E-04,3.856,0.6,-0.6,1.50E+02,2.09E+01,-2.09E+01,0.5729,0.3876,-0.3527,2.24,1.08E+00,-6.70E-01,,,,,,,,,,,,,912,,,163.58,232.08,-94.07,6596,166,-231,4.037,0.24,-0.252,1.757,0.843,-0.527,,,,,,,,,,297.16177,41.775822,13.073
0,,409.2452,1.12E-01,-1.12E-01,13.06,1.8,-1.8,5.31E+02,6.94E+01,-6.94E+01,0.0176,0.4272,-0.0176,2.1,8.30E-01,-2.40E-01,,,,,,,,,,,,,244,,,0.84,1.01,-0.24,5910,172,-165,4.466,0.074,-0.271,0.911,0.362,-0.101,,,,,,,,,,289.90698,42.0462,15.42
0,,5.53312006,7.18E-05,-7.18E-05,3.486,0.325,-0.325,5.31E+01,5.00E+00,-5.00E+00,0.299,0.174,-0.299,1.05,1.80E-01,-2.00E-01,,,,,,,,,,,,,1303,,,680.77,309.09,-260.78,6170,83,-83,4.15,0.168,-0.112,1.425,0.248,-0.275,,,,,,,,,,293.68127,41.611969,13.591
0,,200.721168,4.81E-03,-4.81E-03,9.91,0.492,-0.492,8.23E+02,7.19E+01,-7.19E+01,0.234,0.225,-0.234,3.32,5.30E-01,-5.80E-01,,,,,,,,,,,,,327,,,2.72,1.15,-0.96,5566,83,-75,4.275,0.162,-0.108,1.17,0.186,-0.204,,,,,,,,,,288.90952,51.930561,15.511
0,,0.935086665,4.07E-06,-4.07E-06,1.12,0.13,-0.13,7.12E+01,7.80E+00,-7.80E+00,0.4742,0.044,-0.4344,1.18,7.10E-01,-2.00E-01,,,,,,,,,,,,,2431,,,8250.8,15116.33,-3377.4,6762,155,-273,4.282,0.097,-0.346,1.348,0.82,-0.223,,,,,,,,,,292.77893,40.795631,13.993
0,,1.489457454,9.96E-06,-9.96E-06,3.028,0.134,-0.134,5.63E+01,2.30E+00,-2.30E+00,0.171,0.361,-0.171,1.58,3.40E-01,-5.10E-01,,,,,,,,,,,,,2415,,,8026.6,5024.1,-4729.45,6316,154,-173,3.908,0.292,-0.117,2.087,0.449,-0.673,,,,,,,,,,284.69278,44.010208,13.09
0,,1.181165291,3.89E-06,-3.89E-06,1.013,0.113,-0.113,3.70E+02,3.55E+01,-3.55E+01,0.632,0.045,-0.474,1.52,2.00E-01,-1.40E-01,,,,,,,,,,,,,1398,,,905.88,411.38,-238.26,5203,169,-154,4.582,0.048,-0.078,0.747,0.098,-0.066,,,,,,,,,,291.34879,51.256119,15.971
